Date/Time Stamp,Pressure,X Axis,Y Axis,Z Axis
16:26:04,0.43,0.004,0,0.964
16:26:05,0.43,0.008,-0.004,0.972
16:26:06,0.43,0,0,0.964
16:26:07,0.43,0,-0.008,0.972
16:26:08,0.43,0.004,0,0.988
16:26:09,0.43,0.008,-0.004,0.972
16:26:10,0.43,0.008,-0.004,0.984
16:26:11,0.43,0.004,0.008,0.98
16:26:12,0.43,0,0,0.972
16:26:13,0.43,0,0,0.968
16:26:14,0.43,0,0,0.976
16:26:15,0.43,0,0,0.972
16:26:16,0.43,0,-0.008,0.96
16:26:17,0.43,-0.004,0,0.952
16:26:18,0.46,0,-0.004,0.964
16:26:19,0.46,0.004,-0.004,0.964
16:26:20,0.43,0.008,-0.004,0.972
16:26:21,0.46,0.004,0,0.98
16:26:22,0.46,-0.004,-0.008,0.96
16:26:23,0.46,-0.004,0.008,0.964
16:26:24,0.46,0,-0.004,0.968
16:26:25,0.43,0,-0.004,0.968
16:26:26,0.43,0.004,-0.004,0.964
16:26:27,0.43,0.004,-0.004,0.98
16:26:28,0.43,0,0.004,0.96
16:26:29,0.43,0,0.004,0.964
16:26:30,0.43,0.004,-0.004,0.968
16:26:31,0.43,0,0,0.968
16:26:32,0.43,0,0,0.968
16:26:33,0.43,-0.004,-0.004,0.964
16:26:34,0.43,0,0.004,0.968
16:26:35,0.43,0.004,0,0.96
16:26:36,0.43,0.008,0,0.984
16:26:37,0.43,0,-0.004,0.968
16:26:38,0.43,-0.004,-0.004,0.976
16:26:39,0.46,0,0.004,0.968
16:26:40,0.43,0,0,0.972
16:26:41,0.43,-0.004,0.008,0.964
16:26:42,0.43,-0.004,0.008,0.968
16:26:43,0.43,0,0,0.968
16:26:44,0.43,0.004,-0.004,0.972
16:26:45,0.43,0,-0.004,0.972
16:26:46,0.43,0,-0.004,0.976
16:26:47,0.43,-0.004,0.008,0.976
16:26:48,0.43,0,0,0.968
16:26:49,0.43,0.004,0,0.968
16:26:50,0.43,0.004,-0.004,0.976
16:26:51,0.43,0.004,0.004,0.976
16:26:52,0.46,0,-0.004,0.964
16:26:53,0.43,0,0.004,0.972
16:26:54,0.46,0,0.004,0.972
16:26:55,0.43,0,-0.008,0.968
16:26:56,0.43,-0.008,-0.004,0.972
16:26:57,0.46,0,0.004,0.972
16:26:58,0.43,0,0,0.968
16:26:59,0.43,0,-0.012,0.972
16:27:00,0.46,0,0,0.972
16:27:01,0.43,0,0.004,0.98
16:27:02,0.43,-0.008,-0.004,0.968
16:27:03,0.43,0,0,0.956
16:27:04,0.43,0.004,0.008,0.964
16:27:05,0.43,-0.004,0,0.98
16:27:06,0.43,0,0,0.972
16:27:07,0.43,0.004,0.004,0.956
16:27:08,0.43,-0.004,0,0.96
16:27:09,0.43,-0.004,0,0.968
16:27:10,0.43,0.004,-0.008,0.972
16:27:11,0.43,0.004,0,0.968
16:27:12,0.43,0,0.004,0.976
16:27:13,0.43,0,-0.004,0.972
16:27:14,0.43,0.004,0,0.972
16:27:15,0.46,0,0,0.972
16:27:16,0.43,0,-0.008,0.964
16:27:17,0.46,-0.004,-0.004,0.968
16:27:18,0.46,0,0,0.968
16:27:19,0.46,0.004,0,0.96
16:27:20,0.46,0,0,0.976
16:27:21,0.46,0,0,0.972
16:27:22,0.46,-0.004,0.004,0.968
16:27:23,0.46,-0.004,-0.004,0.964
16:27:24,0.46,-0.332,0.344,0.928
16:27:25,0.46,0.952,-0.428,0.276
16:27:26,0.53,0.896,-0.208,0.376
16:27:27,0.5,0.044,-1.116,-0.064
16:27:28,0.65,0.108,-0.896,0.48
16:27:29,0.56,-0.404,1.508,1.124
16:27:30,0.53,-0.232,0.816,1.176
16:27:31,0.53,-0.644,0.148,0.48
16:27:32,0.53,-0.296,-0.084,1.188
16:27:33,0.53,0.22,0.18,0.92
16:27:34,0.5,0.244,-0.012,0.92
16:27:35,0.53,0.248,-0.012,0.936
16:27:36,0.5,0.248,-0.02,0.924
16:27:37,0.5,0.256,-0.02,0.928
16:27:38,0.5,0.248,-0.012,0.928
16:27:39,0.5,0.236,0.06,0.964
16:27:40,0.5,0.224,-0.016,0.94
16:27:41,0.53,0.216,-0.02,0.936
16:27:42,0.5,0.22,-0.032,0.924
16:27:43,0.53,0.228,-0.032,0.936
16:27:44,0.5,0.224,-0.04,0.932
16:27:45,0.5,0.232,-0.016,0.932
16:27:46,0.5,0.212,-0.024,0.94
16:27:47,0.5,0.228,-0.02,0.932
16:27:48,0.5,0.224,-0.032,0.928
16:27:49,0.5,0.208,-0.028,0.932
16:27:50,0.5,0.232,-0.032,0.944
16:27:51,0.53,0.212,-0.04,0.94
16:27:52,0.53,0.22,-0.02,0.936
16:27:53,0.53,0.232,-0.02,0.932
16:27:54,0.53,0.228,-0.024,0.928
16:27:55,0.53,0.224,-0.024,0.932
16:27:56,0.5,0.216,-0.036,0.944
16:27:57,0.5,0.208,-0.036,0.936
16:27:58,0.5,0.224,-0.036,0.944
16:27:59,0.53,0.216,-0.02,0.936
16:28:00,0.53,0.216,-0.02,0.94
16:28:01,0.53,0.236,-0.016,0.944
16:28:02,0.5,0.224,-0.028,0.948
16:28:03,0.5,0.224,-0.024,0.928
16:28:04,0.5,0.216,-0.016,0.932
16:28:05,0.5,0.236,-0.04,0.932
16:28:06,0.5,0.216,-0.024,0.948
16:28:07,0.5,0.224,-0.032,0.94
16:28:08,0.5,0.224,-0.024,0.936
16:28:09,0.5,0.224,-0.028,0.948
16:28:10,0.5,0.212,-0.02,0.944
16:28:11,0.5,0.228,-0.028,0.944
16:28:12,0.5,0.224,-0.032,0.944
16:28:13,0.53,0.22,-0.04,0.944
16:28:14,0.5,0.22,-0.032,0.928
16:28:15,0.5,0.208,-0.02,0.94
16:28:16,0.5,0.216,-0.028,0.948
16:28:17,0.5,0.224,-0.04,0.936
16:28:18,0.5,0.212,-0.02,0.944
16:28:19,0.5,0.216,-0.036,0.944
16:28:20,0.53,0.2,-0.128,0.948
16:28:21,0.5,0.256,-0.212,0.908
16:28:22,0.53,0.232,-0.196,0.924
16:28:23,0.5,0.22,-0.188,0.92
16:28:24,0.5,0.216,-0.192,0.928
16:28:25,0.5,0.22,-0.18,0.928
16:28:26,0.5,0.208,-0.2,0.92
16:28:27,0.5,0.216,-0.2,0.932
16:28:28,0.5,0.224,-0.192,0.92
16:28:29,0.5,0.228,-0.196,0.94
16:28:30,0.53,0.22,-0.192,0.924
16:28:31,0.5,0.224,-0.192,0.9
16:28:32,0.5,0.224,-0.184,0.916
16:28:33,0.5,0.204,-0.188,0.904
16:28:34,0.5,0.208,-0.192,0.916
16:28:35,0.5,0.228,-0.2,0.916
16:28:36,0.5,0.232,-0.172,0.92
16:28:37,0.53,0.212,-0.188,0.92
16:28:38,0.53,0.204,-0.18,0.904
16:28:39,0.53,0.216,-0.188,0.912
16:28:40,0.5,0.22,-0.188,0.916
16:28:41,0.5,0.224,-0.188,0.912
16:28:42,0.53,0.22,-0.184,0.908
16:28:43,0.5,0.22,-0.192,0.912
16:28:44,0.53,0.212,-0.196,0.932
16:28:45,0.5,0.208,-0.192,0.908
16:28:46,0.5,0.208,-0.184,0.908
16:28:47,0.5,0.216,-0.192,0.92
16:28:48,0.53,0.208,-0.196,0.92
16:28:49,0.53,0.212,-0.192,0.912
16:28:50,0.53,0.212,-0.168,0.92
16:28:51,0.5,0.216,-0.196,0.928
16:28:52,0.5,0.224,-0.188,0.924
16:28:53,0.53,0.216,-0.176,0.92
16:28:54,0.5,0.216,-0.196,0.928
16:28:55,0.5,0.208,-0.184,0.908
16:28:56,0.5,0.212,-0.184,0.916
16:28:57,0.5,0.216,-0.2,0.916
16:28:58,0.5,0.224,-0.168,0.924
16:28:59,0.5,0.224,-0.196,0.932
16:29:00,0.53,0.204,-0.184,0.912
16:29:01,0.53,0.212,-0.196,0.924
16:29:02,0.5,0.24,-0.16,0.908
16:29:03,0.53,0.212,-0.188,0.92
16:29:04,0.5,0.212,-0.184,0.912
16:29:05,0.5,0.216,-0.18,0.924
16:29:06,0.5,0.224,-0.192,0.924
16:29:07,0.5,0.212,-0.2,0.916
16:29:08,0.53,0.216,-0.18,0.94
16:29:09,0.53,0.216,-0.196,0.912
16:29:10,0.5,0.216,-0.188,0.924
16:29:11,0.5,0.22,-0.204,0.936
16:29:12,0.5,0.208,-0.204,0.924
16:29:13,0.5,0.232,-0.188,0.932
16:29:14,0.53,0.208,-0.176,0.904
16:29:15,0.5,0.22,-0.196,0.916
16:29:16,0.5,0.22,-0.176,0.932
16:29:17,0.5,0.208,-0.192,0.92
16:29:18,0.5,0.22,-0.172,0.924
16:29:19,0.53,0.212,-0.192,0.904
16:29:20,0.5,0.224,-0.184,0.912
16:29:21,0.53,0.22,-0.172,0.916
16:29:22,0.5,0.208,-0.188,0.916
16:29:23,0.53,0.212,-0.184,0.924
16:29:24,0.5,0.216,-0.192,0.932
16:29:25,0.53,0.22,-0.196,0.912
16:29:26,0.5,0.216,-0.192,0.912
16:29:27,0.5,0.212,-0.184,0.928
16:29:28,0.53,0.22,-0.192,0.92
16:29:29,0.5,0.228,-0.188,0.928
16:29:30,0.5,0.204,-0.196,0.936
16:29:31,0.53,0.212,-0.184,0.916
16:29:32,0.5,0.208,-0.18,0.92
16:29:33,0.53,0.22,-0.2,0.924
16:29:34,0.5,0.204,-0.192,0.912
16:29:35,0.5,0.208,-0.2,0.924
16:29:36,0.5,0.22,-0.192,0.912
16:29:37,0.5,0.22,-0.184,0.908
16:29:38,0.5,0.224,-0.2,0.932
16:29:39,0.5,0.204,-0.18,0.908
16:29:40,0.5,0.216,-0.18,0.912
16:29:41,0.5,0.22,-0.188,0.928
16:29:42,0.53,0.208,-0.2,0.912
16:29:43,0.5,0.228,-0.192,0.912
16:29:44,0.53,0.228,-0.192,0.916
16:29:45,0.5,0.212,-0.176,0.916
16:29:46,0.5,0.208,-0.184,0.908
16:29:47,0.53,0.212,-0.196,0.936
16:29:48,0.53,0.224,-0.184,0.924
16:29:49,0.5,0.2,-0.192,0.912
16:29:50,0.5,0.208,-0.184,0.916
16:29:51,0.53,0.208,-0.188,0.912
16:29:52,0.5,0.216,-0.192,0.928
16:29:53,0.5,0.204,-0.18,0.908
16:29:54,0.5,0.204,-0.188,0.92
16:29:55,0.5,0.216,-0.188,0.932
16:29:56,0.5,0.216,-0.188,0.912
16:29:57,0.53,0.212,-0.184,0.912
16:29:58,0.5,0.204,-0.184,0.928
16:29:59,0.5,0.208,-0.196,0.932
16:30:00,0.5,0.22,-0.196,0.912
16:30:01,0.5,0.212,-0.2,0.912
16:30:02,0.5,0.216,-0.192,0.908
16:30:03,0.53,0.208,-0.192,0.928
16:30:04,0.5,0.212,-0.188,0.916
16:30:05,0.5,0.216,-0.18,0.936
16:30:06,0.5,0.204,-0.184,0.92
16:30:07,0.5,0.212,-0.184,0.912
16:30:08,0.5,0.22,-0.2,0.924
16:30:09,0.5,0.208,-0.188,0.924
16:30:10,0.5,0.22,-0.188,0.916
16:30:11,0.53,0.212,-0.188,0.924
16:30:12,0.5,0.212,-0.204,0.936
16:30:13,0.5,0.212,-0.196,0.92
16:30:14,0.5,0.22,-0.184,0.912
16:30:15,0.5,0.22,-0.184,0.92
16:30:16,0.5,0.212,-0.192,0.916
16:30:17,0.5,0.208,-0.2,0.92
16:30:18,0.5,0.224,-0.216,0.916
16:30:19,0.5,0.216,-0.18,0.924
16:30:20,0.5,0.212,-0.184,0.92
16:30:21,0.5,0.196,-0.204,0.92
16:30:22,0.53,0.2,-0.192,0.924
16:30:23,0.5,0.204,-0.192,0.896
16:30:24,0.5,0.216,-0.184,0.916
16:30:25,0.5,0.216,-0.192,0.924
16:30:26,0.5,0.216,-0.188,0.928
16:30:27,0.5,0.208,-0.188,0.9
16:30:28,0.5,0.208,-0.184,0.912
16:30:29,0.5,0.2,-0.18,0.912
16:30:30,0.5,0.208,-0.192,0.928
16:30:31,0.5,0.22,-0.188,0.92
16:30:32,0.5,0.208,-0.2,0.924
16:30:33,0.53,0.208,-0.176,0.928
16:30:34,0.5,0.212,-0.18,0.912
16:30:35,0.5,0.228,-0.196,0.94
16:30:36,0.5,0.204,-0.188,0.928
16:30:37,0.5,0.212,-0.192,0.928
16:30:38,0.5,0.216,-0.188,0.932
16:30:39,0.5,0.22,-0.196,0.92
16:30:40,0.5,0.204,-0.184,0.912
16:30:41,0.5,0.212,-0.196,0.932
16:30:42,0.5,0.22,-0.188,0.936
16:30:43,0.5,0.208,-0.196,0.932
16:30:44,0.5,0.228,-0.188,0.904
16:30:45,0.5,0.212,-0.184,0.92
16:30:46,0.5,0.204,-0.196,0.904
16:30:47,0.5,0.22,-0.192,0.928
16:30:48,0.5,0.22,-0.188,0.916
16:30:49,0.5,0.216,-0.196,0.924
16:30:50,0.5,0.216,-0.184,0.92
16:30:51,0.5,0.212,-0.188,0.932
16:30:52,0.5,0.212,-0.184,0.916
16:30:53,0.5,0.216,-0.188,0.908
16:30:54,0.5,0.208,-0.176,0.904
16:30:55,0.5,0.212,-0.184,0.936
16:30:56,0.5,0.22,-0.192,0.924
16:30:57,0.5,0.208,-0.188,0.932
16:30:58,0.5,0.2,-0.2,0.904
16:30:59,0.5,0.212,-0.172,0.932
16:31:00,0.5,0.212,-0.184,0.92
16:31:01,0.5,0.204,-0.184,0.928
16:31:02,0.5,0.208,-0.184,0.912
16:31:03,0.5,0.2,-0.192,0.92
16:31:04,0.5,0.2,-0.184,0.924
16:31:05,0.53,0.22,-0.192,0.94
16:31:06,0.5,0.224,-0.192,0.936
16:31:07,0.5,0.212,-0.18,0.92
16:31:08,0.5,0.212,-0.18,0.916
16:31:09,0.53,0.22,-0.184,0.916
16:31:10,0.5,0.224,-0.192,0.94
16:31:11,0.5,0.22,-0.188,0.916
16:31:12,0.5,0.196,-0.192,0.924
16:31:13,0.5,0.224,-0.184,0.916
16:31:14,0.5,0.224,-0.168,0.928
16:31:15,0.5,0.208,-0.192,0.916
16:31:16,0.5,0.204,-0.188,0.932
16:31:17,0.5,0.196,-0.192,0.9
16:31:18,0.5,0.212,-0.184,0.924
16:31:19,0.5,0.2,-0.196,0.924
16:31:20,0.5,0.22,-0.18,0.92
16:31:21,0.5,0.212,-0.192,0.932
16:31:22,0.5,0.224,-0.184,0.924
16:31:23,0.5,0.212,-0.168,0.924
16:31:24,0.5,0.216,-0.192,0.94
16:31:25,0.5,0.204,-0.18,0.908
16:31:26,0.53,0.216,-0.176,0.94
16:31:27,0.5,0.216,-0.184,0.916
16:31:28,0.5,0.208,-0.196,0.916
16:31:29,0.53,0.212,-0.188,0.924
16:31:30,0.5,0.2,-0.188,0.92
16:31:31,0.5,0.216,-0.172,0.928
16:31:32,0.5,0.216,-0.188,0.924
16:31:33,0.5,0.208,-0.196,0.924
16:31:34,0.5,0.204,-0.188,0.916
16:31:35,0.5,0.208,-0.192,0.936
16:31:36,0.5,0.216,-0.196,0.92
16:31:37,0.5,0.208,-0.188,0.928
16:31:38,0.5,0.212,-0.188,0.912
16:31:39,0.5,0.212,-0.18,0.928
16:31:40,0.5,0.224,-0.196,0.92
16:31:41,0.5,0.204,-0.188,0.936
16:31:42,0.5,0.212,-0.196,0.932
16:31:43,0.53,0.212,-0.2,0.924
16:31:44,0.5,0.216,-0.184,0.92
16:31:45,0.5,0.208,-0.18,0.916
16:31:46,0.5,0.216,-0.192,0.924
16:31:47,0.5,0.22,-0.192,0.92
16:31:48,0.5,0.216,-0.196,0.924
16:31:49,0.5,0.216,-0.184,0.932
16:31:50,0.53,0.208,-0.192,0.916
16:31:51,0.5,0.22,-0.176,0.924
16:31:52,0.5,0.2,-0.184,0.908
16:31:53,0.5,0.188,-0.188,0.92
16:31:54,0.5,0.208,-0.188,0.932
16:31:55,0.5,0.216,-0.184,0.932
16:31:56,0.5,0.212,-0.18,0.928
16:31:57,0.53,0.212,-0.18,0.912
16:31:58,0.5,0.2,-0.188,0.916
16:31:59,0.5,0.212,-0.184,0.924
16:32:00,0.5,0.22,-0.192,0.924
16:32:01,0.5,0.192,-0.196,0.904
16:32:02,0.5,0.224,-0.184,0.92
16:32:03,0.5,0.204,-0.184,0.92
16:32:04,0.5,0.208,-0.192,0.928
16:32:05,0.5,0.204,-0.188,0.924
16:32:06,0.5,0.216,-0.188,0.928
16:32:07,0.5,0.216,-0.192,0.916
16:32:08,0.5,0.204,-0.184,0.912
16:32:09,0.5,0.212,-0.18,0.932
16:32:10,0.5,0.208,-0.184,0.912
16:32:11,0.5,0.208,-0.188,0.928
16:32:12,0.5,0.22,-0.188,0.94
16:32:13,0.5,0.216,-0.18,0.936
16:32:14,0.5,0.2,-0.176,0.92
16:32:15,0.5,0.212,-0.188,0.924
16:32:16,0.5,0.216,-0.196,0.912
16:32:17,0.5,0.192,-0.18,0.924
16:32:18,0.5,0.2,-0.192,0.916
16:32:19,0.5,0.208,-0.192,0.912
16:32:20,0.5,0.216,-0.176,0.912
16:32:21,0.5,0.212,-0.188,0.924
16:32:22,0.5,0.212,-0.18,0.928
16:32:23,0.5,0.208,-0.18,0.9
16:32:24,0.5,0.204,-0.188,0.936
16:32:25,0.5,0.216,-0.188,0.944
16:32:26,0.5,0.22,-0.184,0.916
16:32:27,0.5,0.212,-0.188,0.924
16:32:28,0.5,0.208,-0.184,0.92
16:32:29,0.5,0.208,-0.18,0.912
16:32:30,0.53,0.208,-0.184,0.92
16:32:31,0.5,0.216,-0.176,0.92
16:32:32,0.5,0.204,-0.192,0.916
16:32:33,0.5,0.216,-0.188,0.912
16:32:34,0.5,0.208,-0.192,0.924
16:32:35,0.5,0.196,-0.204,0.924
16:32:36,0.5,0.22,-0.18,0.924
16:32:37,0.53,0.224,-0.188,0.94
16:32:38,0.53,0.212,-0.184,0.916
16:32:39,0.53,0.204,-0.176,0.916
16:32:40,0.53,0.216,-0.204,0.912
16:32:41,0.53,0.204,-0.184,0.936
16:32:42,0.53,0.2,-0.192,0.912
16:32:43,0.53,0.2,-0.188,0.928
16:32:44,0.53,0.208,-0.188,0.924
16:32:45,0.53,0.216,-0.192,0.908
16:32:46,0.53,0.204,-0.18,0.916
16:32:47,0.53,0.2,-0.196,0.92
16:32:48,0.53,0.204,-0.188,0.912
16:32:49,0.53,0.192,-0.184,0.884
16:32:50,0.53,0.212,-0.184,0.9
16:32:51,0.53,0.196,-0.196,0.9
16:32:52,0.53,0.208,-0.196,0.928
16:32:53,0.53,0.196,-0.204,0.924
16:32:54,0.53,0.208,-0.18,0.928
16:32:55,0.53,0.2,-0.188,0.92
16:32:56,0.53,0.216,-0.184,0.936
16:32:57,0.53,0.208,-0.18,0.92
16:32:58,0.53,0.208,-0.188,0.924
16:32:59,0.56,0.208,-0.176,0.924
16:33:00,0.53,0.208,-0.184,0.928
16:33:01,0.53,0.208,-0.18,0.932
16:33:02,0.53,0.22,-0.172,0.928
16:33:03,0.53,0.208,-0.188,0.932
16:33:04,0.53,0.208,-0.184,0.916
16:33:05,0.53,0.216,-0.192,0.912
16:33:06,0.53,0.208,-0.188,0.92
16:33:07,0.53,0.2,-0.18,0.916
16:33:08,0.53,0.208,-0.184,0.928
16:33:09,0.53,0.204,-0.184,0.924
16:33:10,0.53,0.192,-0.188,0.92
16:33:11,0.53,0.22,-0.184,0.928
16:33:12,0.53,0.228,-0.196,0.936
16:33:13,0.53,0.208,-0.18,0.92
16:33:14,0.53,0.2,-0.188,0.916
16:33:15,0.53,0.2,-0.176,0.916
16:33:16,0.53,0.208,-0.188,0.924
16:33:17,0.53,0.204,-0.184,0.928
16:33:18,0.53,0.196,-0.176,0.912
16:33:19,0.53,0.204,-0.176,0.924
16:33:20,0.53,0.208,-0.184,0.912
16:33:21,0.53,0.2,-0.172,0.912
16:33:22,0.53,0.2,-0.18,0.928
16:33:23,0.53,0.204,-0.188,0.924
16:33:24,0.53,0.212,-0.184,0.924
16:33:25,0.53,0.204,-0.184,0.904
16:33:26,0.53,0.212,-0.176,0.904
16:33:27,0.53,0.204,-0.184,0.924
16:33:28,0.53,0.22,-0.184,0.92
16:33:29,0.53,0.22,-0.176,0.94
16:33:30,0.53,0.212,-0.192,0.928
16:33:31,0.53,0.204,-0.184,0.912
16:33:32,0.53,0.216,-0.196,0.936
16:33:33,0.53,0.208,-0.184,0.936
16:33:34,0.53,0.22,-0.18,0.92
16:33:35,0.53,0.216,-0.192,0.928
16:33:36,0.53,0.208,-0.184,0.928
16:33:37,0.53,0.224,-0.192,0.936
16:33:38,0.53,0.22,-0.18,0.924
16:33:39,0.53,0.208,-0.196,0.916
16:33:40,0.53,0.204,-0.196,0.908
16:33:41,0.53,0.212,-0.18,0.94
16:33:42,0.53,0.208,-0.196,0.912
16:33:43,0.53,0.196,-0.184,0.916
16:33:44,0.53,0.208,-0.188,0.932
16:33:45,0.53,0.216,-0.192,0.908
16:33:46,0.56,0.216,-0.18,0.932
16:33:47,0.53,0.212,-0.188,0.92
16:33:48,0.53,0.224,-0.188,0.92
16:33:49,0.53,0.216,-0.176,0.936
16:33:50,0.53,0.228,-0.192,0.936
16:33:51,0.53,0.212,-0.192,0.92
16:33:52,0.53,0.208,-0.188,0.928
16:33:53,0.53,0.204,-0.172,0.92
16:33:54,0.53,0.2,-0.196,0.932
16:33:55,0.53,0.232,-0.192,0.936
16:33:56,0.53,0.212,-0.176,0.924
16:33:57,0.53,0.204,-0.2,0.928
16:33:58,0.53,0.2,-0.172,0.924
16:33:59,0.53,0.208,-0.188,0.924
16:34:00,0.53,0.216,-0.196,0.94
16:34:01,0.53,0.188,-0.18,0.912
16:34:02,0.53,0.212,-0.18,0.916
16:34:03,0.53,0.208,-0.18,0.912
16:34:04,0.53,0.2,-0.188,0.916
16:34:05,0.53,0.212,-0.196,0.916
16:34:06,0.53,0.208,-0.196,0.908
16:34:07,0.53,0.216,-0.184,0.912
16:34:08,0.53,0.2,-0.18,0.924
16:34:09,0.53,0.216,-0.188,0.924
16:34:10,0.53,0.2,-0.184,0.916
16:34:11,0.53,0.212,-0.188,0.932
16:34:12,0.53,0.216,-0.176,0.924
16:34:13,0.53,0.212,-0.192,0.924
16:34:14,0.53,0.192,-0.204,0.916
16:34:15,0.53,0.208,-0.192,0.916
16:34:16,0.53,0.212,-0.2,0.928
16:34:17,0.53,0.204,-0.2,0.916
16:34:18,0.53,0.208,-0.176,0.916
16:34:19,0.53,0.224,-0.184,0.932
16:34:20,0.53,0.2,-0.188,0.896
16:34:21,0.53,0.196,-0.192,0.936
16:34:22,0.53,0.216,-0.184,0.92
16:34:23,0.53,0.212,-0.192,0.908
16:34:24,0.53,0.216,-0.184,0.912
16:34:25,0.53,0.216,-0.192,0.912
16:34:26,0.53,0.204,-0.172,0.904
16:34:27,0.53,0.212,-0.184,0.924
16:34:28,0.53,0.204,-0.188,0.92
16:34:29,0.53,0.216,-0.192,0.928
16:34:30,0.53,0.2,-0.188,0.94
16:34:31,0.53,0.208,-0.184,0.912
16:34:32,0.53,0.212,-0.196,0.944
16:34:33,0.53,0.2,-0.184,0.92
16:34:34,0.53,0.192,-0.188,0.908
16:34:35,0.53,0.216,-0.192,0.94
16:34:36,0.53,0.212,-0.184,0.932
16:34:37,0.53,0.212,-0.176,0.908
16:34:38,0.53,0.212,-0.196,0.928
16:34:39,0.53,0.212,-0.188,0.916
16:34:40,0.53,0.2,-0.184,0.924
16:34:41,0.53,0.196,-0.172,0.904
16:34:42,0.56,0.208,-0.184,0.92
16:34:43,0.53,0.196,-0.176,0.912
16:34:44,0.53,0.208,-0.188,0.928
16:34:45,0.53,0.204,-0.196,0.916
16:34:46,0.53,0.212,-0.192,0.936
16:34:47,0.53,0.212,-0.18,0.936
16:34:48,0.53,0.204,-0.184,0.932
16:34:49,0.53,0.208,-0.188,0.924
16:34:50,0.53,0.2,-0.184,0.908
16:34:51,0.53,0.208,-0.184,0.916
16:34:52,0.53,0.216,-0.176,0.912
16:34:53,0.53,0.22,-0.176,0.936
16:34:54,0.53,0.2,-0.188,0.92
16:34:55,0.53,0.204,-0.184,0.916
16:34:56,0.53,0.212,-0.172,0.928
16:34:57,0.53,0.204,-0.184,0.924
16:34:58,0.53,0.224,-0.204,0.936
16:34:59,0.53,0.22,-0.188,0.916
16:35:00,0.53,0.208,-0.2,0.916
16:35:01,0.53,0.22,-0.196,0.928
16:35:02,0.53,0.204,-0.184,0.908
16:35:03,0.53,0.22,-0.184,0.924
16:35:04,0.53,0.192,-0.184,0.92
16:35:05,0.53,0.208,-0.192,0.924
16:35:06,0.53,0.22,-0.18,0.94
16:35:07,0.53,0.22,-0.184,0.932
16:35:08,0.53,0.208,-0.18,0.92
16:35:09,0.53,0.2,-0.188,0.944
16:35:10,0.53,0.208,-0.184,0.932
16:35:11,0.53,0.208,-0.192,0.916
16:35:12,0.53,0.204,-0.2,0.932
16:35:13,0.53,0.196,-0.184,0.916
16:35:14,0.53,0.208,-0.176,0.924
16:35:15,0.53,0.2,-0.188,0.92
16:35:16,0.53,0.216,-0.184,0.932
16:35:17,0.53,0.208,-0.192,0.928
16:35:18,0.53,0.208,-0.176,0.916
16:35:19,0.53,0.204,-0.184,0.916
16:35:20,0.53,0.208,-0.18,0.912
16:35:21,0.53,0.204,-0.18,0.928
16:35:22,0.53,0.2,-0.192,0.928
16:35:23,0.53,0.204,-0.176,0.928
16:35:24,0.53,0.216,-0.188,0.94
16:35:25,0.53,0.208,-0.204,0.916
16:35:26,0.53,0.224,-0.176,0.948
16:35:27,0.53,0.208,-0.176,0.928
16:35:28,0.53,0.196,-0.18,0.9
16:35:29,0.53,0.2,-0.18,0.9
16:35:30,0.53,0.204,-0.184,0.92
16:35:31,0.53,0.208,-0.196,0.924
16:35:32,0.53,0.212,-0.188,0.932
16:35:33,0.53,0.212,-0.188,0.924
16:35:34,0.53,0.216,-0.196,0.936
16:35:35,0.53,0.2,-0.192,0.924
16:35:36,0.53,0.212,-0.184,0.924
16:35:37,0.53,0.208,-0.196,0.924
16:35:38,0.53,0.22,-0.18,0.908
16:35:39,0.53,0.208,-0.192,0.932
16:35:40,0.53,0.204,-0.184,0.932
16:35:41,0.53,0.216,-0.204,0.944
16:35:42,0.53,0.204,-0.192,0.916
16:35:43,0.53,0.212,-0.18,0.924
16:35:44,0.53,0.2,-0.188,0.92
16:35:45,0.53,0.208,-0.18,0.924
16:35:46,0.53,0.208,-0.188,0.932
16:35:47,0.53,0.204,-0.2,0.908
16:35:48,0.53,0.208,-0.188,0.94
16:35:49,0.53,0.208,-0.188,0.912
16:35:50,0.53,0.212,-0.184,0.92
16:35:51,0.53,0.208,-0.184,0.92
16:35:52,0.53,0.2,-0.188,0.912
16:35:53,0.53,0.208,-0.18,0.94
16:35:54,0.53,0.208,-0.2,0.928
16:35:55,0.53,0.212,-0.176,0.924
16:35:56,0.53,0.2,-0.188,0.92
16:35:57,0.53,0.22,-0.192,0.92
16:35:58,0.53,0.196,-0.184,0.916
16:35:59,0.53,0.216,-0.196,0.928
16:36:00,0.53,0.208,-0.188,0.94
16:36:01,0.53,0.204,-0.18,0.92
16:36:02,0.53,0.2,-0.188,0.9
16:36:03,0.53,0.2,-0.184,0.928
16:36:04,0.53,0.216,-0.192,0.94
16:36:05,0.53,0.22,-0.188,0.932
16:36:06,0.53,0.216,-0.18,0.928
16:36:07,0.53,0.212,-0.196,0.928
16:36:08,0.53,0.204,-0.208,0.924
16:36:09,0.53,0.196,-0.176,0.916
16:36:10,0.53,0.208,-0.192,0.924
16:36:11,0.53,0.212,-0.192,0.94
16:36:12,0.53,0.204,-0.18,0.916
16:36:13,0.53,0.204,-0.188,0.92
16:36:14,0.53,0.216,-0.188,0.924
16:36:15,0.53,0.192,-0.196,0.916
16:36:16,0.56,0.216,-0.188,0.92
16:36:17,0.53,0.208,-0.184,0.928
